,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Paxten Aaronson,us USA,FWMF,Philadelphia,19-004,2003,19,2,394,4.4,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,0.9,0.9,0.9,1.8,0.20,0.21,0.41,0.20,0.41,Matches,4cd41883
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27-248,1994,26,23,1995,22.2,4,0,4,0,0,7,0,0.18,0.00,0.18,0.18,0.18,2.2,2.2,0.1,2.3,0.10,0.00,0.10,0.10,0.10,Matches,4a67f05b
3,Nicolás Acevedo,uy URU,MFDF,NYCFC,23-138,1999,25,21,1770,19.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.03,0.03,0.06,0.03,0.06,Matches,6140be7b
4,Ifunanyachi Achara,us USA,FWMF,Toronto FC,24-336,1997,11,0,292,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.11,0.03,0.14,0.11,0.14,Matches,d31bf83e
5,Bryan Acosta,hn HON,MF,Colorado Rapids,28-279,1993,20,17,1477,16.4,0,2,0,0,0,10,1,0.00,0.12,0.12,0.00,0.12,0.6,0.6,2.9,3.5,0.04,0.18,0.21,0.04,0.21,Matches,c5f400f4
6,George Acosta,us USA,MF,Inter Miami,22-223,2000,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.92,0.00,0.92,0.92,0.92,Matches,409d5b26
7,Kellyn Acosta,us USA,MFDF,Los Angeles FC,27-037,1995,26,23,2067,23.0,2,2,2,0,0,7,0,0.09,0.09,0.17,0.09,0.17,1.3,1.3,3.5,4.9,0.06,0.15,0.21,0.06,0.21,Matches,ece10cfe
8,Luciano Acosta,ar ARG,MF,FC Cincinnati,28-091,1994,24,22,1969,21.9,6,9,4,2,3,5,1,0.27,0.41,0.69,0.18,0.59,6.9,4.6,9.1,13.7,0.32,0.41,0.73,0.21,0.63,Matches,363ba6d7
9,Mo Adams,eng ENG,MF,Inter Miami,25-341,1996,8,5,354,3.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,00362ef7
10,Samuel Adeniran,us USA,FWMF,Seattle,23-334,1998,2,1,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches,86429529
11,Harrison Afful,gh GHA,DF,Charlotte,36-037,1986,15,9,816,9.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.02,0.04,0.06,0.02,0.06,Matches,7d8ede09
12,William Agada,ng NGA,FW,Sporting KC,22-347,1999,6,5,438,4.9,5,1,5,0,0,2,0,1.03,0.21,1.23,1.03,1.23,4.3,4.3,0.4,4.7,0.88,0.09,0.96,0.88,0.96,Matches,d2275b1b
13,Oskar Ågren,se SWE,DF,San Jose,23-354,1998,3,3,249,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,5ad77e97
14,Daniel Aguirre,us USA,MFFW,LA Galaxy,23-059,1999,10,3,367,4.1,1,1,1,0,0,0,0,0.25,0.25,0.49,0.25,0.49,0.3,0.3,0.7,1.0,0.08,0.18,0.26,0.08,0.26,Matches,ecc5063f
15,Ali Ahmed,ca CAN,DFMF,Vancouver,21-324,2000,2,0,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.02,0.15,0.13,0.15,Matches,540a5be1
16,Arnaud Ake,ci CIV,FW,Nashville,24-151,1998,20,0,312,3.5,1,0,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,0.8,0.8,0.5,1.2,0.22,0.13,0.36,0.22,0.36,Matches,3402bb17
17,Tesho Akindele,ca CAN,FW,Orlando City,30-152,1992,21,2,456,5.1,2,0,2,0,0,0,0,0.39,0.00,0.39,0.39,0.39,1.4,1.4,0.6,2.0,0.28,0.12,0.39,0.28,0.39,Matches,897304e5
18,Ayo Akinola,ca CAN,FW,Toronto FC,22-222,2000,20,10,943,10.5,1,0,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,2.6,2.6,0.6,3.2,0.24,0.06,0.30,0.24,0.30,Matches,214d2406
19,Jordy Alcivar,ec ECU,MF,Charlotte,23-025,1999,18,10,978,10.9,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,0.8,0.8,1.7,2.5,0.08,0.15,0.23,0.08,0.23,Matches,6e98c19f
20,Caio Alexandre,br BRA,MF,Vancouver,23-187,1999,4,0,81,0.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.09,0.01,0.10,0.09,0.10,Matches,08ac23b7
21,Tony Alfaro,us USA,DF,D.C. United,29-076,1993,15,8,798,8.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4118b12a
22,Noah Allen,us USA,DFMF,Inter Miami,18-124,2004,8,3,324,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches,043f389a
23,Thiago Almada,ar ARG,MFFW,Atlanta Utd,21-126,2001,22,18,1747,19.4,4,6,4,0,0,2,1,0.21,0.31,0.52,0.21,0.52,4.2,4.2,5.1,9.3,0.22,0.26,0.48,0.22,0.48,Matches,27f33438
24,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,36-292,1985,4,4,331,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matches,8449bfda
25,Jozy Altidore,us USA,FW,New England,32-297,1989,17,4,597,6.6,1,0,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,1.6,1.6,0.6,2.2,0.24,0.09,0.33,0.24,0.33,Matches,8db8ad1e
26,Efrain Alvarez,mx MEX,MFFW,LA Galaxy,20-072,2002,23,12,1280,14.2,3,3,3,0,0,2,0,0.21,0.21,0.42,0.21,0.42,3.9,3.9,2.7,6.5,0.27,0.19,0.46,0.27,0.46,Matches,3cd08ab7
27,Luis Amarilla,py PAR,FW,Minnesota Utd,27-005,1995,26,21,1778,19.8,9,4,9,0,0,2,0,0.46,0.20,0.66,0.46,0.66,6.6,6.6,3.1,9.7,0.34,0.15,0.49,0.34,0.49,Matches,fa66adb6
28,Frankie Amaya,us USA,MF,NY Red Bulls,21-338,2000,22,21,1797,20.0,0,2,0,0,0,5,1,0.00,0.10,0.10,0.00,0.10,0.3,0.3,1.7,2.0,0.02,0.08,0.10,0.02,0.10,Matches,2e8bd00c
29,Mikey Ambrose,us USA,DF,Atlanta Utd,28-329,1993,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,f649d6aa
30,Malte Amundsen,dk DEN,DF,NYCFC,24-200,1998,24,20,1870,20.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,3.5,4.1,0.03,0.17,0.20,0.03,0.20,Matches,83b6e15d
31,Max Anchor,ca CAN,GK,Vancouver,18-040,2004,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d6aa8848
32,Sebastian Anderson,us USA,DF,Colorado Rapids,20-022,2002,2,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3a9911ce
33,José Andrés Martínez,ve VEN,MF,Philadelphia,28-023,1994,25,24,2073,23.0,0,2,0,0,0,9,1,0.00,0.09,0.09,0.00,0.09,0.5,0.5,0.5,1.0,0.02,0.02,0.04,0.02,0.04,Matches,c8364e8e
34,Iván Angulo,co COL,MFFW,Orlando City,23-161,1999,2,0,59,0.7,0,1,0,0,0,0,0,0.00,1.53,1.53,0.00,1.53,0.0,0.0,0.2,0.2,0.07,0.29,0.36,0.07,0.36,Matches,55a5d959
35,Jalil Anibaba,us USA,DF,Columbus Crew,33-315,1988,4,3,220,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,e44593b0
36,Themi Antonoglou,ca CAN,DF,Toronto FC,21-089,2001,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b137ee51
37,Brian Anunga,cm CMR,MF,Nashville,26-020,1996,22,9,792,8.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches,17b28ec7
38,Cristian Arango,co COL,FW,Los Angeles FC,27-174,1995,27,21,1880,20.9,13,4,12,1,1,4,0,0.62,0.19,0.81,0.57,0.77,11.5,10.8,3.1,13.9,0.55,0.15,0.70,0.52,0.66,Matches,fea9401e
39,César Araujo,uy URU,MF,Orlando City,21-150,2001,26,24,2097,23.3,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,1.0,0.03,0.01,0.04,0.03,0.04,Matches,3ed214ff
40,Julian Araujo,mx MEX,DF,LA Galaxy,21-017,2001,25,23,2090,23.2,0,3,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,1.3,1.3,3.4,4.7,0.06,0.15,0.20,0.06,0.20,Matches,8f4541c2
41,Luiz Araújo,br BRA,FWMF,Atlanta Utd,26-089,1996,21,19,1626,18.1,4,5,4,0,0,5,0,0.22,0.28,0.50,0.22,0.50,6.2,6.2,4.0,10.2,0.34,0.22,0.56,0.34,0.56,Matches,fa18c72e
42,Daniel Armando Ríos,mx MEX,FW,Charlotte,27-189,1995,21,10,978,10.9,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,2.6,2.6,0.9,3.5,0.24,0.08,0.32,0.24,0.32,Matches,078b2c07
43,Adam Armour,us USA,MF,Charlotte,19-337,2002,5,0,85,0.9,1,0,1,0,0,1,0,1.06,0.00,1.06,1.06,1.06,0.3,0.3,0.3,0.6,0.32,0.32,0.64,0.32,0.64,Matches,546c2c25
44,Xavier Arreaga,ec ECU,DF,Seattle,27-336,1994,22,21,1763,19.6,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,1.1,1.1,0.1,1.2,0.05,0.01,0.06,0.05,0.06,Matches,7f2b7640
45,Kervin Arriaga,hn HON,MF,Minnesota Utd,24-237,1998,18,18,1496,16.6,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.2,1.0,0.04,0.01,0.06,0.04,0.06,Matches,4f8a9f70
46,Paul Arriola,us USA,FW,FC Dallas,27-206,1995,28,25,2221,24.7,9,3,9,0,0,3,0,0.36,0.12,0.49,0.36,0.49,6.9,6.9,5.6,12.5,0.28,0.23,0.51,0.28,0.51,Matches,1bb2acce
47,Artur,br BRA,MF,Columbus Crew,26-172,1996,17,16,1331,14.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.6,1.6,0.07,0.04,0.11,0.07,0.11,Matches,ea6803c7
48,Dairon Asprilla,co COL,FWMF,Portland Timbers,30-097,1992,23,13,1307,14.5,6,2,3,3,3,7,0,0.41,0.14,0.55,0.21,0.34,5.7,3.4,1.7,5.1,0.39,0.12,0.51,0.23,0.35,Matches,218d336c
49,Isaac Atanga,gh GHA,FW,FC Cincinnati,22-032,2000,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.53,0.53,0.00,0.53,Matches,ff0f2a53
50,Joshua Atencio,us USA,MFFW,Seattle,20-211,2002,11,2,235,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.05,0.05,0.10,0.05,0.10,Matches,1f084637
51,Roberto Avila,us USA,FWMF,Houston Dynamo,21-318,2000,7,2,157,1.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.22,0.00,0.22,0.22,0.22,Matches,bb666b57
52,David Ayala,ar ARG,MF,Portland Timbers,20-035,2002,18,7,671,7.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.04,0.05,0.09,0.04,0.09,Matches,06dafc0e
53,Edison Azcona,do DOM,MF,Inter Miami,18-282,2003,1,0,18,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,05f54837
54,Dominique Badji,sn SEN,FWDF,FC Cincinnati,29-318,1992,17,12,1023,11.4,0,2,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,2.8,2.8,1.2,4.0,0.25,0.10,0.35,0.25,0.35,Matches,758ac389
55,Zico Bailey,us USA,DFMF,FC Cincinnati,22-003,2000,3,1,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,aa9e1161
56,Corey Baird,us USA,FWMF,Houston Dynamo,26-212,1996,16,10,853,9.5,1,1,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,1.1,1.1,1.7,2.8,0.12,0.18,0.29,0.12,0.29,Matches,2d0d1442
57,Esmir Bajraktarevic,,FWMF,New England,,,3,1,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches,dff24174
58,Reed Baker-Whiting,us USA,MF,Seattle,17-152,2005,2,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.44,0.01,0.45,0.44,0.45,Matches,816d7aec
59,Michael Baldisimo,ca CAN,MF,Vancouver,22-139,2000,13,4,455,5.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.06,0.08,0.02,0.08,Matches,894b41c5
60,Gareth Bale,wls WAL,FW,Los Angeles FC,33-045,1989,6,1,175,1.9,2,0,2,0,0,0,0,1.03,0.00,1.03,1.03,1.03,1.0,1.0,0.1,1.1,0.49,0.05,0.55,0.49,0.55,Matches,a58bb1e1
61,Tom Barlow,us USA,FW,NY Red Bulls,27-053,1995,28,8,982,10.9,4,0,3,1,1,2,0,0.37,0.00,0.37,0.27,0.27,5.5,4.8,0.3,5.1,0.51,0.03,0.53,0.44,0.47,Matches,da4821de
62,Álvaro Barreal,ar ARG,DFFW,FC Cincinnati,22-013,2000,25,18,1596,17.7,4,5,4,0,0,3,0,0.23,0.28,0.51,0.23,0.51,2.5,2.5,3.3,5.8,0.14,0.19,0.33,0.14,0.33,Matches,ffca53e1
63,Michael Barrios,co COL,FWMF,Colorado Rapids,31-131,1991,27,15,1528,17.0,2,5,2,0,0,4,0,0.12,0.29,0.41,0.12,0.41,3.3,3.3,4.5,7.8,0.19,0.27,0.46,0.19,0.46,Matches,df782c79
64,Ethan Bartlow,us USA,DFMF,Houston Dynamo,22-209,2000,11,6,618,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.01,0.02,0.04,0.01,0.04,Matches,552898bd
65,Zorhan Bassong,ca CAN,DF,CF Montréal,23-115,1999,10,1,188,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.04,0.16,0.20,0.04,0.20,Matches,6297d826
66,Tanner Beason,us USA,DF,San Jose,25-160,1997,22,20,1819,20.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.01,0.02,0.03,0.01,0.03,Matches,3f1b018e
67,Simon Becher,us USA,FW,Vancouver,23-041,1999,1,0,9,0.1,1,0,1,0,0,0,0,10.00,0.00,10.00,10.00,10.00,0.6,0.6,0.0,0.6,6.02,0.00,6.02,6.02,6.02,Matches,bc921182
68,Alejandro Bedoya,us USA,MF,Philadelphia,35-123,1987,26,25,2219,24.7,5,5,5,0,0,7,0,0.20,0.20,0.41,0.20,0.41,2.5,2.5,5.2,7.6,0.10,0.21,0.31,0.10,0.31,Matches,9a6f8dfd
69,Steven Beitashour,ir IRN,DF,Colorado Rapids,35-210,1987,15,10,984,10.9,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches,64f1680a
70,Jon Bell,us USA,DF,New England,25-004,1997,11,7,764,8.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches,658a3134
71,Ben Bender,us USA,MF,Charlotte,21-176,2001,26,17,1543,17.1,3,6,3,0,0,0,0,0.17,0.35,0.52,0.17,0.52,2.5,2.5,2.9,5.4,0.15,0.17,0.31,0.15,0.31,Matches,bc307884
72,Alan Benítez,py PAR,DF,Minnesota Utd,28-217,1994,6,4,393,4.4,1,2,1,0,0,1,0,0.23,0.46,0.69,0.23,0.69,0.2,0.2,0.9,1.1,0.04,0.21,0.25,0.04,0.25,Matches,5c7c798b
73,Julio Benitez,us USA,FW,Real Salt Lake,17-031,2005,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,625ed11d
74,Sebastian Berhalter,us USA,MF,Vancouver,21-105,2001,15,11,963,10.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.03,0.03,0.05,0.03,0.05,Matches,f33ee427
75,Federico Bernardeschi,it ITA,FW,Toronto FC,28-195,1994,7,7,562,6.2,5,2,3,2,2,2,0,0.80,0.32,1.12,0.48,0.80,2.7,1.1,1.9,3.0,0.43,0.30,0.73,0.18,0.48,Matches,ee93c1a9
76,Miguel Berry,es ESP,FW,Columbus Crew,24-348,1997,16,13,970,10.8,2,0,2,0,0,0,0,0.19,0.00,0.19,0.19,0.19,2.5,2.5,0.7,3.2,0.24,0.06,0.30,0.24,0.30,Matches,a5532e80
77,Miguel Berry,es ESP,FW,D.C. United,24-348,1997,8,5,434,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.18,0.04,0.21,0.18,0.21,Matches,a5532e80
78,Matt Bersano,us USA,GK,San Jose,29-354,1992,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9110da2b
79,Nick Besler,us USA,MF,Real Salt Lake,29-115,1993,10,2,240,2.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.02,0.03,0.05,0.02,0.05,Matches,cc9fa1a8
80,Victor Bezerra,us USA,FW,Chicago Fire,22-206,2000,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.36,0.36,0.00,0.36,Matches,cbfb6ca5
81,David Bingham,us USA,GK,Portland Timbers,32-315,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7fd42a85
82,Steve Birnbaum,us USA,DF,D.C. United,31-219,1991,26,26,2309,25.7,1,0,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,1.3,1.3,1.6,2.9,0.05,0.06,0.11,0.05,0.11,Matches,26637ac8
83,Tyler Blackett,eng ENG,DF,FC Cincinnati,28-150,1994,20,14,1342,14.9,0,1,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,0.6,0.9,0.02,0.04,0.06,0.02,0.06,Matches,a68a5466
84,Tristan Blackmon,us USA,DF,Vancouver,26-018,1996,22,17,1594,17.7,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,1.8,1.8,0.1,1.9,0.10,0.01,0.11,0.10,0.11,Matches,7f35d14e
85,Andre Blake,jm JAM,GK,Philadelphia,31-282,1990,28,28,2520,28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b3b21a11
86,Sebastián Blanco,ar ARG,MFFW,Portland Timbers,34-168,1988,26,16,1521,16.9,7,7,6,1,1,6,0,0.41,0.41,0.83,0.36,0.77,5.5,4.8,5.3,10.1,0.33,0.31,0.64,0.28,0.60,Matches,4ddd0834
87,Latif Blessing,gh GHA,MF,Los Angeles FC,25-243,1996,24,12,1054,11.7,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,2.0,2.0,1.0,3.0,0.17,0.09,0.26,0.17,0.26,Matches,5153d32e
88,Emmanuel Boateng,gh GHA,MFFW,New England,28-225,1994,22,8,884,9.8,2,2,2,0,0,1,0,0.20,0.20,0.41,0.20,0.41,2.0,2.0,2.6,4.6,0.20,0.27,0.47,0.20,0.47,Matches,25f77a5f
89,Blake Bodily,us USA,DFFW,Portland Timbers,24-229,1998,3,0,15,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,612a0951
90,Isaac Boehmer,us USA,GK,Vancouver,20-283,2001,3,2,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9792574e
91,Jonathan Bond,eng ENG,GK,LA Galaxy,29-103,1993,26,26,2340,26.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c3a86eea
92,Pablo Bonilla,ve VEN,DF,Portland Timbers,22-271,1999,6,3,252,2.8,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches,da23cdc3
93,Alex Bono,us USA,GK,Toronto FC,28-127,1994,22,22,1980,22.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,aa28a396
94,Jonathan Bornstein,us USA,DFFW,Chicago Fire,37-296,1984,17,10,893,9.9,1,0,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.3,0.6,0.03,0.04,0.06,0.03,0.06,Matches,79a6c95f
95,Dylan Borrero,co COL,FW,New England,20-237,2002,9,7,534,5.9,2,1,2,0,0,1,0,0.34,0.17,0.51,0.34,0.51,1.2,1.2,1.3,2.5,0.21,0.21,0.42,0.21,0.42,Matches,a72d14de
96,Gustavo Bou,ar ARG,FW,New England,32-193,1990,12,10,977,10.9,7,1,6,1,1,3,0,0.64,0.09,0.74,0.55,0.64,6.1,5.4,1.3,6.6,0.56,0.12,0.68,0.49,0.61,Matches,3dfcc735
97,Ousseni Bouda,bf BFA,FW,San Jose,22-124,2000,9,0,118,1.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.3,0.21,0.04,0.25,0.21,0.25,Matches,0672f944
98,Michael Boxall,nz NZL,DF,Minnesota Utd,34-012,1988,24,24,2160,24.0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,0.02,0.01,0.03,0.02,0.03,Matches,6bfa0d3a
99,Michael Bradley,us USA,MF,Toronto FC,35-030,1987,28,28,2509,27.9,3,3,3,0,0,3,0,0.11,0.11,0.22,0.11,0.22,0.9,0.9,1.7,2.6,0.03,0.06,0.09,0.03,0.09,Matches,fd5e3a73
100,Zachary Brault-Guillard,ca CAN,DF,CF Montréal,23-243,1998,14,3,431,4.8,2,2,2,0,0,1,0,0.42,0.42,0.84,0.42,0.84,1.0,1.0,1.4,2.5,0.22,0.29,0.51,0.22,0.51,Matches,948a58c2
101,Claudio Bravo,ar ARG,DF,Portland Timbers,25-170,1997,20,20,1699,18.9,0,1,0,0,0,7,1,0.00,0.05,0.05,0.00,0.05,0.7,0.7,1.3,2.1,0.04,0.07,0.11,0.04,0.11,Matches,5619c5e8
102,Brenner,br BRA,FW,FC Cincinnati,22-226,2000,22,16,1532,17.0,9,4,9,0,0,2,0,0.53,0.23,0.76,0.53,0.76,8.5,8.5,2.3,10.8,0.50,0.14,0.64,0.50,0.64,Matches,279508bf
103,Sebastian Breza,ca CAN,GK,CF Montréal,24-168,1998,21,21,1890,21.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,52e7f812
104,Emiliano Brienza,ca CAN,FW,Vancouver,20-113,2002,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,2.00,0.00,2.00,2.00,2.00,Matches,b54cf257
105,Andrew Brody,us USA,DF,Real Salt Lake,27-119,1995,27,26,2333,25.9,2,3,2,0,0,2,0,0.08,0.12,0.19,0.08,0.19,0.7,0.7,3.5,4.2,0.03,0.14,0.16,0.03,0.16,Matches,33e46323
106,Brandt Bronico,us USA,MF,Charlotte,27-071,1995,28,27,2399,26.7,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,0.5,1.6,0.04,0.02,0.06,0.04,0.06,Matches,bd4460b1
107,Javain Brown,jm JAM,DF,Vancouver,23-174,1999,25,20,1703,18.9,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,1.2,1.2,0.9,2.1,0.06,0.05,0.11,0.06,0.11,Matches,3d14c62e
108,Gastón Brugman,uy URU,MF,LA Galaxy,29-357,1992,6,6,460,5.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.9,0.05,0.12,0.17,0.05,0.17,Matches,e947ee4a
109,Will Bruin,us USA,FW,Seattle,32-310,1989,19,9,714,7.9,2,0,2,0,0,1,0,0.25,0.00,0.25,0.25,0.25,2.1,2.1,0.4,2.4,0.26,0.05,0.30,0.26,0.30,Matches,87a6ac29
